Q15_1,Q15_2_M2,Q19,Q26,Q33,cluster
5.0,120.0,1.0,0.0,3.0,1
15.0,90.0,1.0,0.0,1.0,1
3.0,70.0,1.0,0.0,2.0,1
4.0,90.0,1.0,0.0,3.0,1
20.0,60.0,1.0,1.0,3.0,2
8.0,90.0,1.0,1.0,4.0,2
22.0,90.0,0.0,0.0,3.0,0
20.0,60.0,1.0,0.0,2.0,1
3.0,60.0,1.0,0.0,2.0,1
2.0,30.0,1.0,0.0,1.0,1
4.0,30.0,0.0,0.0,3.0,0
6.0,45.0,1.0,0.0,3.0,1
0.0,180.0,1.0,0.0,1.0,1
7.0,180.0,1.0,1.0,4.0,2
2.0,120.0,1.0,1.0,3.0,2
10.0,60.0,0.0,0.0,1.0,0
8.0,60.0,1.0,0.0,3.0,1
25.0,60.0,1.0,1.0,4.0,2
4.0,90.0,1.0,0.0,2.0,1
2.0,60.0,1.0,0.0,4.0,1
10.0,60.0,0.0,0.0,1.0,0
7.0,30.0,1.0,1.0,1.0,1
18.0,360.0,1.0,0.0,4.0,3
24.0,360.0,1.0,0.0,3.0,3
5.0,300.0,1.0,1.0,4.0,3
4.0,240.0,1.0,0.0,3.0,3
13.0,210.0,1.0,1.0,4.0,3
5.0,180.0,1.0,0.0,2.0,3
2.0,180.0,0.0,0.0,3.0,0
20.0,180.0,1.0,0.0,3.0,3
8.0,150.0,1.0,0.0,2.0,1
4.0,120.0,1.0,1.0,2.0,2
8.0,120.0,0.0,1.0,4.0,2
31.0,120.0,1.0,0.0,3.0,1
4.0,120.0,1.0,0.0,1.0,1
7.0,120.0,1.0,0.0,3.0,1
2.0,120.0,1.0,0.0,1.0,1
1.0,120.0,1.0,1.0,2.0,2
2.0,120.0,0.0,0.0,1.0,0
12.0,150.0,1.0,1.0,3.0,2
3.0,120.0,1.0,0.0,3.0,1
15.0,120.0,1.0,0.0,4.0,1
4.0,90.0,1.0,1.0,2.0,2
3.0,60.0,1.0,0.0,3.0,1
4.0,70.0,0.0,0.0,3.0,0
8.0,90.0,1.0,1.0,3.0,2
2.0,60.0,1.0,1.0,2.0,2
4.0,60.0,1.0,0.0,2.0,1
1.0,60.0,1.0,0.0,1.0,1
4.0,60.0,1.0,0.0,2.0,1
3.0,60.0,0.0,0.0,3.0,0
22.0,60.0,0.0,0.0,2.0,0
16.0,90.0,1.0,0.0,4.0,1
10.0,90.0,1.0,1.0,3.0,2
1.0,60.0,1.0,0.0,4.0,1
20.0,60.0,1.0,0.0,1.0,1
3.0,60.0,1.0,0.0,4.0,1
25.0,60.0,1.0,0.0,2.0,1
8.0,60.0,1.0,0.0,3.0,1
7.0,60.0,1.0,1.0,2.0,2
0.0,80.0,1.0,1.0,2.0,2
10.0,90.0,1.0,1.0,3.0,2
0.0,60.0,1.0,0.0,1.0,1
10.0,90.0,1.0,0.0,3.0,1
5.0,60.0,1.0,0.0,2.0,1
4.0,60.0,1.0,0.0,2.0,1
6.0,60.0,1.0,0.0,3.0,1
8.0,90.0,1.0,0.0,2.0,1
2.0,60.0,0.0,0.0,1.0,0
16.0,70.0,0.0,0.0,4.0,0
4.0,60.0,1.0,0.0,2.0,1
31.0,45.0,1.0,0.0,4.0,1
16.0,45.0,1.0,0.0,1.0,1
15.0,10.0,1.0,0.0,2.0,1
4.0,40.0,1.0,0.0,2.0,1
20.0,30.0,1.0,1.0,2.0,2
16.0,45.0,1.0,0.0,3.0,1
10.0,40.0,1.0,0.0,2.0,1
7.0,45.0,0.0,0.0,2.0,0
2.0,30.0,1.0,0.0,1.0,1
3.0,45.0,1.0,0.0,1.0,1
17.0,40.0,1.0,0.0,2.0,1
8.0,40.0,0.0,0.0,3.0,0
4.0,45.0,0.0,0.0,2.0,0
22.0,45.0,0.0,0.0,1.0,0
20.0,50.0,1.0,0.0,3.0,1
3.0,45.0,1.0,0.0,1.0,1
6.0,30.0,0.0,0.0,3.0,0
10.0,45.0,1.0,0.0,3.0,1
1.0,30.0,1.0,0.0,2.0,1
8.0,40.0,1.0,0.0,3.0,1
16.0,45.0,0.0,0.0,2.0,0
1.0,45.0,1.0,1.0,4.0,2
6.0,40.0,1.0,0.0,2.0,1
2.0,50.0,1.0,0.0,3.0,1
4.0,45.0,0.0,0.0,3.0,0
17.0,40.0,1.0,0.0,2.0,1
12.0,120.0,1.0,1.0,3.0,2
10.0,120.0,1.0,1.0,3.0,2
4.0,90.0,1.0,0.0,2.0,1
7.0,90.0,0.0,0.0,4.0,0
2.0,60.0,1.0,0.0,1.0,1
15.0,60.0,0.0,0.0,3.0,0
12.0,60.0,1.0,0.0,2.0,1
4.0,40.0,1.0,0.0,1.0,1
9.0,30.0,1.0,1.0,2.0,2
4.0,50.0,1.0,0.0,2.0,1
2.0,45.0,1.0,1.0,3.0,2
4.0,40.0,1.0,0.0,2.0,1
4.0,45.0,1.0,0.0,3.0,1
10.0,45.0,1.0,0.0,3.0,1
31.0,120.0,1.0,0.0,3.0,1
12.0,120.0,0.0,1.0,4.0,2
5.0,120.0,0.0,1.0,3.0,2
20.0,60.0,0.0,0.0,2.0,0
2.0,60.0,0.0,1.0,2.0,2
17.0,60.0,1.0,0.0,4.0,1
11.0,120.0,1.0,1.0,3.0,2
30.0,120.0,1.0,0.0,2.0,1
8.0,60.0,0.0,0.0,1.0,0
20.0,120.0,1.0,1.0,4.0,2
6.0,90.0,0.0,0.0,1.0,0
31.0,210.0,0.0,1.0,4.0,2
20.0,180.0,1.0,0.0,3.0,3
30.0,210.0,0.0,1.0,4.0,2
5.0,120.0,0.0,1.0,4.0,2
12.0,120.0,1.0,1.0,4.0,2
4.0,120.0,0.0,1.0,4.0,2
30.0,150.0,0.0,0.0,4.0,0
1.0,60.0,0.0,1.0,3.0,2
26.0,60.0,0.0,1.0,2.0,2
0.0,60.0,0.0,1.0,1.0,0
4.0,60.0,0.0,0.0,2.0,0
27.0,60.0,0.0,1.0,3.0,2
26.0,60.0,0.0,0.0,3.0,0
7.0,90.0,1.0,1.0,3.0,2
22.0,60.0,0.0,1.0,3.0,2
30.0,90.0,1.0,1.0,4.0,2
28.0,80.0,1.0,1.0,4.0,2
20.0,70.0,0.0,1.0,3.0,2
12.0,60.0,0.0,1.0,4.0,2
27.0,90.0,0.0,0.0,2.0,0
10.0,60.0,0.0,0.0,3.0,0
15.0,60.0,0.0,0.0,2.0,0
20.0,60.0,0.0,0.0,4.0,0
31.0,90.0,1.0,1.0,1.0,2
4.0,60.0,0.0,1.0,4.0,2
28.0,60.0,0.0,1.0,2.0,2
15.0,60.0,1.0,1.0,4.0,2
30.0,70.0,0.0,1.0,4.0,2
30.0,60.0,0.0,0.0,3.0,0
30.0,60.0,0.0,1.0,4.0,2
20.0,60.0,0.0,1.0,4.0,2
5.0,90.0,1.0,1.0,4.0,2
8.0,80.0,0.0,1.0,3.0,2
20.0,60.0,0.0,0.0,1.0,0
20.0,60.0,0.0,0.0,2.0,0
5.0,90.0,0.0,0.0,3.0,0
20.0,60.0,1.0,0.0,2.0,1
20.0,60.0,0.0,0.0,3.0,0
3.0,60.0,0.0,0.0,2.0,0
22.0,60.0,0.0,0.0,3.0,0
22.0,50.0,0.0,1.0,2.0,2
10.0,50.0,0.0,1.0,3.0,2
25.0,35.0,0.0,0.0,2.0,0
1.0,10.0,0.0,1.0,3.0,2
21.0,45.0,0.0,1.0,4.0,2
22.0,50.0,0.0,1.0,3.0,2
4.0,40.0,0.0,0.0,2.0,0
30.0,50.0,1.0,0.0,1.0,1
10.0,120.0,0.0,1.0,4.0,2
6.0,90.0,0.0,0.0,1.0,0
26.0,60.0,1.0,1.0,4.0,2
22.0,60.0,0.0,1.0,4.0,2
5.0,60.0,0.0,0.0,3.0,0
20.0,55.0,1.0,1.0,4.0,2
6.0,90.0,0.0,1.0,3.0,2
30.0,60.0,1.0,1.0,4.0,2
5.0,60.0,1.0,0.0,2.0,1
5.0,120.0,0.0,1.0,4.0,2
9.0,60.0,0.0,1.0,4.0,2
20.0,120.0,0.0,0.0,1.0,0
8.0,240.0,1.0,0.0,4.0,3
4.0,270.0,0.0,0.0,2.0,3
10.0,230.0,1.0,1.0,3.0,3
30.0,120.0,1.0,1.0,4.0,2
8.0,120.0,0.0,1.0,4.0,2
3.0,150.0,0.0,0.0,3.0,0
5.0,120.0,0.0,0.0,3.0,0
10.0,120.0,1.0,0.0,2.0,1
20.0,150.0,0.0,1.0,2.0,2
15.0,120.0,1.0,0.0,3.0,1
23.0,60.0,1.0,1.0,2.0,2
4.0,90.0,1.0,1.0,4.0,2
8.0,60.0,1.0,1.0,3.0,2
30.0,60.0,1.0,0.0,1.0,1
10.0,90.0,1.0,0.0,3.0,1
1.0,110.0,0.0,0.0,2.0,0
1.0,30.0,0.0,0.0,2.0,0
2.0,30.0,0.0,0.0,3.0,0
10.0,50.0,0.0,1.0,1.0,0
20.0,50.0,1.0,1.0,4.0,2
10.0,60.0,0.0,1.0,3.0,2
17.0,55.0,1.0,1.0,3.0,2
24.0,120.0,0.0,0.0,1.0,0
25.0,120.0,1.0,1.0,4.0,2
1.0,90.0,0.0,1.0,3.0,2
10.0,90.0,0.0,0.0,1.0,0
30.0,90.0,0.0,0.0,3.0,0
20.0,120.0,1.0,1.0,1.0,2
23.0,150.0,1.0,1.0,3.0,2
20.0,60.0,1.0,0.0,1.0,1
4.0,60.0,1.0,1.0,4.0,2
3.0,70.0,1.0,0.0,2.0,1
10.0,90.0,0.0,0.0,3.0,0
3.0,40.0,0.0,1.0,3.0,2
3.0,30.0,0.0,1.0,3.0,2
20.0,30.0,0.0,0.0,4.0,0
31.0,260.0,1.0,0.0,4.0,3
1.0,140.0,0.0,0.0,3.0,0
1.0,120.0,0.0,0.0,2.0,0
4.0,30.0,1.0,1.0,3.0,2
25.0,390.0,1.0,1.0,2.0,3
6.0,180.0,0.0,1.0,3.0,2
5.0,40.0,1.0,1.0,3.0,2
3.0,35.0,0.0,0.0,1.0,0
10.0,120.0,0.0,1.0,1.0,0
4.0,120.0,0.0,1.0,2.0,2
10.0,60.0,1.0,0.0,2.0,1
2.0,60.0,1.0,0.0,2.0,1
4.0,60.0,0.0,0.0,4.0,0
30.0,90.0,0.0,0.0,2.0,0
14.0,90.0,0.0,0.0,2.0,0
4.0,90.0,1.0,1.0,4.0,2
30.0,110.0,1.0,1.0,3.0,2
12.0,60.0,1.0,1.0,4.0,2
1.0,50.0,1.0,1.0,1.0,1
4.0,40.0,0.0,1.0,3.0,2
10.0,40.0,1.0,1.0,3.0,2
2.0,15.0,0.0,1.0,3.0,2
8.0,150.0,1.0,1.0,2.0,2
14.0,60.0,1.0,0.0,3.0,1
5.0,90.0,0.0,0.0,1.0,0
